contact,close_contact
Hypertension,diseases
no diseases,diseases
Cancer,diseases
Kidney Disorder,diseases
Heart Disease,diseases
Lung Disease,diseases
Diabetes,diseases
3,get_home_location
malabar,get_location
"kerala, thiruvananthapuram, neyyattinkara",get_location
"kerala, thiruvananthapuram, nedumangad",get_location
"kerala, thiruvananthapuram, attingal",get_location
"kerala, thiruvananthapuram, varkala",get_location
"kerala, thiruvananthapuram, chirayinkeezhu",get_location
"kerala, thiruvananthapuram, thiruvananthapuram",get_location
"kerala, kollam, paravoor",get_location
"kerala, kollam, kottarakkara",get_location
"kerala, kollam, punalur",get_location
"kerala, kollam, pathanapuram",get_location
"kerala, kollam, kunnathur",get_location
"kerala, kollam, karunagappally",get_location
"kerala, kollam, kollam",get_location
"kerala, pathanamthitta, adoor",get_location
"kerala, pathanamthitta, kozhenchery",get_location
"kerala, pathanamthitta, ranni",get_location
"kerala, pathanamthitta, mallappally",get_location
"kerala, pathanamthitta, thiruvalla",get_location
"kerala, pathanamthitta, pathanamthitta",get_location
"kerala, alappuzha, mavelikkara",get_location
"kerala, alappuzha, chengannur",get_location
"kerala, alappuzha, kayamkulam",get_location
"kerala, alappuzha, karthikappally",get_location
"kerala, alappuzha, kuttanad",get_location
"kerala, alappuzha, ambalappuzha",get_location
"kerala, alappuzha, cherthala",get_location
"kerala, alappuzha, alappuzha",get_location
"kerala, kottayam, kanjirappally",get_location
"kerala, kottayam, changanassery",get_location
"kerala, kottayam, vaikom",get_location
"kerala, kottayam, palai",get_location
"kerala, kottayam, meenachil",get_location
"kerala, kottayam, kottayam",get_location
"kerala, idukki , peerumade",get_location
"kerala, idukki , thodupuzha",get_location
"kerala, idukki , udumbanchola",get_location
"kerala, idukki , devikulam",get_location
"kerala, idukki , idukki",get_location
"kerala, ernakulam, kothamangalam",get_location
"kerala, ernakulam, muvattupuzha",get_location
"kerala, ernakulam, thrippunithura",get_location
"kerala, ernakulam, kalamassery",get_location
"kerala, ernakulam, kanayannur",get_location
"kerala, ernakulam, kochi",get_location
"kerala, ernakulam, paravur",get_location
"kerala, ernakulam, angamaly",get_location
"kerala, ernakulam, aluva",get_location
"kerala, ernakulam, perumbavoor",get_location
"kerala, ernakulam, kunnathunad",get_location
"kerala, ernakulam, ernakulam",get_location
"kerala, thrissur, chalakudy",get_location
"kerala, thrissur, irinjalakuda",get_location
"kerala, thrissur, mukundapuram",get_location
"kerala, thrissur, kodungallur",get_location
"kerala, thrissur, guruvayoor",get_location
"kerala, thrissur, chavakkad",get_location
"kerala, thrissur, kunnamkulam",get_location
"kerala, thrissur, talappilly",get_location
"kerala, thrissur, thrissur",get_location
"kerala, palakkad, alathur",get_location
"kerala, palakkad, chittur",get_location
"kerala, palakkad, mannarkad",get_location
"kerala, palakkad, shoranur",get_location
"kerala, palakkad, ottappalam",get_location
"kerala, palakkad, palakkad",get_location
"kerala, malappuram, ponnani",get_location
"kerala, malappuram, tirurangadi",get_location
"kerala, malappuram, tirur",get_location
"kerala, malappuram, perinthalmanna",get_location
"kerala, malappuram, nilambur",get_location
"kerala, malappuram, manjeri",get_location
"kerala, malappuram, ernad",get_location
"kerala, malappuram, malappuram",get_location
"kerala, kozhikode, quilandy",get_location
"kerala, kozhikode, vadakara",get_location
"kerala, kozhikode, kozhikode",get_location
"kerala, wayanad, kalpetta",get_location
"kerala, wayanad, vythiri",get_location
"kerala, wayanad, sulthanbathery",get_location
"kerala, wayanad, mananthavady",get_location
"kerala, kasaragod, hosdurg",get_location
"kerala, kasaragod, kasaragod",get_location
"kerala, wayanad, wayanad",get_location
"kerala, kannur, koothuparamba",get_location
"kerala, kannur, mattannur",get_location
"kerala, kannur, thalassery",get_location
"kerala, kannur, payyannur",get_location
"kerala, kannur, taliparamba",get_location
"kerala, kannur, kannur",get_location
"kerala, kasaragod, kanhangad",get_location
"Office Clerks, General",get_occupation
Couriers and Messengers,get_occupation
Cashiers,get_occupation
Receptionists and Information Clerks,get_occupation
Food Preparation Workers,get_occupation
Waiters and Waitresses,get_occupation
Dining Room and Cafeteria Attendants and Bartender Helpers,get_occupation
"Middle School Teachers, Except Special and Career/Technical Education",get_occupation
"Food Servers, Nonrestaurant",get_occupation
"Bus Drivers, Transit and Intercity",get_occupation
First-Line Supervisors of Personal Service Workers,get_occupation
Tellers,get_occupation
